start_station_name,Avg_ride_length,Avg_ride_length_Casual,Avg_ride_length_Member,Casual_riders,Member_riders,Electric_bike_riders,Classic_bike_riders,Total_riders
Streeter Dr & Grand Ave,32.08785332758265,35.5620081288465,20.805723478710174,46091,14193,12811,47473,60284
DuSable Lake Shore Dr & Monroe St,32.335509371840118,35.013777763203777,23.6400475531424,30496,9393,8573,31316,39889
Michigan Ave & Oak St,31.694449104754447,38.354640913957141,20.080247813411059,22729,13034,9093,26670,35763
DuSable Lake Shore Dr & North Blvd,24.005748629270421,28.42358556028918,17.884959867641474,20656,14909,7375,28190,35565
Kingsbury St & Kinzie St,10.448408066853242,14.266959698137448,9.1941855865833375,8304,25282,10751,22835,33586
Clark St & Elm St,13.733412854931403,18.742178040480042,11.627663067214886,9305,22133,9593,21845,31438
Clinton St & Washington Blvd,12.565736227551385,16.535275080906157,11.670143507640029,5665,25109,12598,18176,30774
Millennium Park,32.4320539334244,39.379590631081527,18.169716425896173,19184,9345,7151,21378,28529
Clinton St & Madison St,12.719182265655869,18.989394183301133,10.917667237099721,6212,21621,11009,16824,27833
Wells St & Concord Ln,13.815490003516052,18.289806985622054,11.51226446280992,9343,18150,9255,18238,27493
Theater on the Lake,26.559551385427334,30.956937783325678,21.010963276133662,15221,12063,5244,22040,27284
Wells St & Elm St,12.106819206492343,16.184676284306825,10.184883913764525,8526,18090,9168,17448,26616
Shedd Aquarium,28.044884350906411,30.023440687342259,19.950141452719389,19282,4713,5506,18489,23995
Indiana Ave & Roosevelt Rd,22.219365392968712,30.970399329796123,15.013144514282788,10743,13046,6009,17780,23789
Dearborn St & Erie St,16.245367164851235,24.417212688507547,12.781605049594221,7051,16635,7092,16594,23686
Wabash Ave & Grand Ave,19.765344788185228,30.824018827193289,12.281929975812442,9419,13919,7274,16064,23338
University Ave & 57th St,9.9165846923807131,15.987802460497932,7.9287746024473575,5717,17461,3622,19556,23178
Dusable Harbor,31.723437522768691,35.045216360403067,22.391479322786559,16870,6005,5235,17640,22875
State St & Chicago Ave,13.504586761187925,19.874430836866054,11.043291067564574,6369,16483,7412,15440,22852
Clinton St & Jackson Blvd,13.006691834074887,19.178516283897746,11.153665829096788,5138,17113,8940,13311,22251
Michigan Ave & Washington St,21.295983498798723,32.1786399396487,13.39456181533647,9279,12780,6132,15927,22059
Broadway & Barry Ave,15.424341634300514,21.412921119592859,12.866454733181168,6550,15335,6608,15277,21885
Clark St & Lincoln Ave,18.33252235725751,25.94234060072321,12.661398804759612,9311,12494,6025,15780,21805
Clark St & Armitage Ave,18.089703424268912,25.519543304221212,12.6784500808354,9160,12577,6044,15693,21737
Wilton Ave & Belmont Ave,13.330724058321319,18.18057510148849,10.792991338006567,7390,14123,6665,14848,21513
Wells St & Huron St,11.861313447722342,15.946454519035171,9.9233565405206754,6882,14507,6990,14399,21389
Desplaines St & Kinzie St,10.801003648206425,14.053495125492644,9.3941659376892588,6428,14861,7359,13930,21289
Wells St & Hubbard St,12.538096148636811,17.080343492255079,10.431454528491132,6628,14291,7202,13717,20919
Ellis Ave & 60th St,8.4870545554000341,11.731174320310714,7.2149533024255925,5836,14883,2710,18009,20719
LaSalle St & Illinois St,17.547777832342977,25.03832240111311,12.304146490788675,8385,11978,6611,13752,20363
Sheffield Ave & Fullerton Ave,11.810846143739335,15.445126856435651,10.11246626180837,6464,13832,5905,14391,20296
Larrabee St & Kingsbury St,10.629394514978822,13.461247540338459,9.86895462135143,4235,15771,7643,12363,20006
Canal St & Adams St,14.54129829154499,20.525806090461256,12.805340131635909,4466,15396,8471,11391,19862
Canal St & Madison St,13.757625630897509,18.528446551835373,12.06689643347052,5167,14580,7843,11904,19747
